experiment_id,experiment,method,n,accuracy,precision,recall,f1_score,macro_f1,true_negative,false_positive,false_negative,true_positive
E1_80_20,Stratified Hold-out 80:20,Rule-Based,20,1.0,1.0,1.0,1.0,1.0,14,0,0,6
E1_80_20,Stratified Hold-out 80:20,Decision Tree,20,0.95,1.0,0.8333333333333334,0.9090909090909091,0.9373040752351097,14,0,1,5
E2_70_30,Stratified Hold-out 70:30,Rule-Based,30,0.9333333333333333,1.0,0.7777777777777778,0.875,0.9147727272727273,21,0,2,7
E2_70_30,Stratified Hold-out 70:30,Decision Tree,30,0.9333333333333333,1.0,0.7777777777777778,0.875,0.9147727272727273,21,0,2,7
E3_5_Fold_CV,5-Fold Stratified Cross Validation,Rule-Based,99,0.9393939393939394,1.0,0.8,0.8888888888888888,0.9236111111111112,69,0,6,24
E3_5_Fold_CV,5-Fold Stratified Cross Validation,Decision Tree,99,0.9595959595959596,0.9642857142857143,0.9,0.9310344827586207,0.951231527093596,68,1,3,27
E4_LOOCV,Leave-One-Out Cross Validation (LOOCV),Rule-Based,99,0.9393939393939394,1.0,0.8,0.8888888888888888,0.9236111111111112,69,0,6,24
E4_LOOCV,Leave-One-Out Cross Validation (LOOCV),Decision Tree,99,0.9696969696969697,0.9655172413793104,0.9333333333333333,0.9491525423728814,0.9637849042799659,68,1,2,28
